ubicacion_clean,actas_jee,actas_pendientes
LIMA,1057,187
AMÉRICA,423,104
EUROPA,223,13
MAYNAS,213,0
PIURA,200,0
TRUJILLO,190,0
CORONEL PORTILLO,137,0
CALLAO,126,8
CHICLAYO,97,1
ICA,90,0
SANTA,87,11
HUÁNUCO,58,0
HUANCAYO,57,0
CAÑETE,57,0
AREQUIPA,55,0
CAJAMARCA,54,0
SATIPO,54,0
SULLANA,54,0
CHINCHA,52,0
PISCO,50,0
LAMBAYEQUE,50,0
TAMBOPATA,47,0
VIRÚ,45,0
TACNA,44,0
JAÉN,43,0
AYABACA,43,0
SAN MARTÍN,41,0
HUAMANGA,40,0
LEONCIO PRADO,40,0
LA CONVENCIÓN,39,73
ALTO AMAZONAS,39,15
MORROPÓN,38,0
TUMBES,37,0
MARISCAL RAMÓN CASTILLA,36,0
HUARI,35,0
REQUENA,34,0
HUARAZ,33,0
HUANCABAMBA,32,0
UTCUBAMBA,30,0
NASCA,30,0
TALARA,30,0
SAN IGNACIO,29,0
HUAURA,29,0
PATAZ,28,0
HUAROCHIRÍ,28,0
LORETO,28,0
ATALAYA,28,0
CELENDÍN,27,0
PACASMAYO,27,0
OXAPAMPA,27,0
CHANCHAMAYO,26,0
UCAYALI,26,0
PASCO,25,0
ANDAHUAYLAS,24,0
ASCOPE,23,0
HUARAL,23,0
DATEM DEL MARAÑÓN,22,1
OTUZCO,22,0
PADRE ABAD,22,0
ASIA,21,13
FERREÑAFE,21,0
MOYOBAMBA,20,0
CASMA,19,0
AMBO,19,0
BARRANCA,19,0
RIOJA,19,0
CHOTA,18,1
CHEPÉN,17,0
SÁNCHEZ CARRIÓN,17,0
PAITA,17,0
PUNO,16,2
HUANCAVELICA,16,1
PACHITEA,16,1
CHACHAPOYAS,16,0
YAROWILCA,16,0
ILO,16,0
LAMAS,15,0
ZARUMILLA,15,0
BAGUA,14,0
HUANTA,14,0
LA MAR,14,0
HUALGAYOC,14,0
SAN MARCOS,14,0
LAURICOCHA,14,0
SECHURA,14,0
AZÁNGARO,14,0
SAN ROMÁN,14,0
BELLAVISTA,14,0
CONDORCANQUI,13,0
QUISPICANCHI,13,0
TAYACAJA,13,0
CONCEPCIÓN,13,0
MARISCAL CÁCERES,13,0
PICOTA,13,0
TOCACHE,13,0
PUERTO INCA,12,0
CUTERVO,11,1
ISLAY,11,0
SANTA CRUZ,11,0
HUAMALIES,11,0
CARABAYA,11,0
CHUCUITO,11,0
CAYLLOMA,10,0
CHURCAMPA,10,0
ACOBAMBA,9,0
ANGARAES,9,0
DOS DE MAYO,9,0
CHUPACA,9,0
JULCÁN,9,0
HUANCANÉ,9,0
SIHUAS,8,0
URUBAMBA,8,0
PAUCARTAMBO,8,0
HUACAYBAMBA,8,0
MARAÑÓN,8,0
PALPA,8,0
MARISCAL NIETO,8,0
ANTONIO RAIMONDI,7,0
CARHUAZ,7,0
CARLOS FERMÍN FITZCARRALD,7,0
HUARMEY,7,0
PALLASCA,7,0
POMABAMBA,7,0
CHINCHEROS,7,0
CAMANÁ,7,0
LUCANAS,7,0
SAN MIGUEL,7,0
YUNGUYO,7,0
HUALLAGA,7,0
EL DORADO,7,0
CONTRALMIRANTE VILLAR,7,0
LUYA,6,0
HUAYLAS,6,0
YUNGAY,6,0
CAJABAMBA,6,0
CANCHIS,6,0
ESPINAR,6,0
JAUJA,6,0
SANTIAGO DE CHUCO,6,0
CANTA,6,0
MANÚ,6,0
ASUNCIÓN,5,0
COTABAMBAS,5,0
GRAU,5,0
PARINACOCHAS,5,0
ACOMAYO,5,0
GENERAL SÁNCHEZ CERRO,5,0
MELGAR,5,0
MOHO,5,0
CUSCO,4,35
ABANCAY,4,0
CONDESUYOS,4,0
CANGALLO,4,0
VILCAS HUAMÁN,4,0
CONTUMAZA,4,0
TARMA,4,0
JORGE BASADRE,4,0
EL COLLAO,3,1
SUCRE,3,0
HUAYTARA,3,0
BOLÍVAR,3,0
OYÓN,3,0
PUTUMAYO,3,0
DANIEL ALCIDES CARRIÓN,3,0
SANDIA,3,0
OCEANÍA,2,4
RODRÍGUEZ DE MENDOZA,2,0
MARISCAL LUZURIAGA,2,0
CALCA,2,0
CANAS,2,0
CASTROVIRREYNA,2,0
YAULI,2,0
GRAN CHIMÚ,2,0
YAUYOS,2,0
LAMPA,2,0
SAN ANTONIO DE PUTINA,2,0
CANDARAVE,2,0
TARATA,2,0
BOLOGNESI,1,0
CORONGO,1,0
OCROS,1,0
ANTABAMBA,1,0
AYMARAES,1,0
CASTILLA,1,0
PÁUCAR DEL SARA SARA,1,0
CHUMBIVILCAS,1,0
TAHUAMANÚ,1,0
PURÚS,1,0
ANTA,0,11
PARURO,0,3
ÁFRICA,0,1
AIJA,0,0
BONGARÁ,0,0
RECUAY,0,0
CARAVELÍ,0,0
LA UNIÓN,0,0
HUANCA SANCOS,0,0
VÍCTOR FAJARDO,0,0
SAN PABLO,0,0
JUNÍN,0,0
CAJATAMBO,0,0
